,region,ISO_3_codes,year,value
58,Denmark,DNK,1960,4579603
59,Dominican Republic,DOM,1960,3294222
60,Algeria,DZA,1960,11057864
61,East Asia & Pacific (excluding high income),EAP,1960,894885526
62,Early-demographic dividend,EAR,1960,980003345
63,East Asia & Pacific,EAS,1960,1041673567
64,Europe & Central Asia (excluding high income),ECA,1960,256240323
65,Europe & Central Asia,ECS,1960,666753356
66,Ecuador,ECU,1960,4543658
67,"Egypt, Arab Rep.",EGY,1960,26632891
68,Euro area,EMU,1960,265203956
69,Eritrea,ERI,1960,1007586
70,Spain,ESP,1960,30455000
71,Estonia,EST,1960,1211537
72,Ethiopia,ETH,1960,22151284
73,European Union,EUU,1960,356906098
74,Fragile and conflict affected situations,FCS,1960,245134016
75,Finland,FIN,1960,4429634
76,Fiji,FJI,1960,393480
77,France,FRA,1960,46621688
78,Faroe Islands,FRO,1960,34624
79,"Micronesia, Fed. Sts.",FSM,1960,44510
80,Gabon,GAB,1960,500922
81,United Kingdom,GBR,1960,52400000
82,Georgia,GEO,1960,3645600
83,Ghana,GHA,1960,6635229
84,Gibraltar,GIB,1960,23420
85,Guinea,GIN,1960,3494164
86,"Gambia, The",GMB,1960,365049
87,Guinea-Bissau,GNB,1960,616140
88,Equatorial Guinea,GNQ,1960,255338
89,Greece,GRC,1960,8331725
90,Grenada,GRD,1960,89927
91,Greenland,GRL,1960,32500
92,Guatemala,GTM,1960,4128880
93,Guam,GUM,1960,66733
94,Guyana,GUY,1960,571813
95,High income,HIC,1960,779313752
96,"Hong Kong SAR, China",HKG,1960,3075605
97,Honduras,HND,1960,2038636
98,Heavily indebted poor countries (HIPC),HPC,1960,161734348
99,Croatia,HRV,1960,4140181
100,Haiti,HTI,1960,3866162
101,Hungary,HUN,1960,9983967
102,IBRD only,IBD,1960,1919643259
103,IDA & IBRD total,IBT,1960,2299245319
104,IDA total,IDA,1960,379602060
105,IDA blend,IDB,1960,120391642
106,Indonesia,IDN,1960,87751066
107,IDA only,IDX,1960,259210418
108,Isle of Man,IMN,1960,48444
109,India,IND,1960,450547675
110,Not classified,INX,1960,
111,Ireland,IRL,1960,2828600
112,"Iran, Islamic Rep.",IRN,1960,21906909
113,Iraq,IRQ,1960,7289753
114,Iceland,ISL,1960,175574
115,Israel,ISR,1960,2114020
116,Italy,ITA,1960,50199700
117,Jamaica,JAM,1960,1628524
118,Jordan,JOR,1960,933102
119,Japan,JPN,1960,93216000
120,Kazakhstan,KAZ,1960,9934564
121,Kenya,KEN,1960,8120082
122,Kyrgyz Republic,KGZ,1960,2172300
123,Cambodia,KHM,1960,5722372
124,Kiribati,KIR,1960,41196
125,St. Kitts and Nevis,KNA,1960,51199
126,"Korea, Rep.",KOR,1960,25012374
127,Kuwait,KWT,1960,269026
128,Latin America & Caribbean (excluding high income),LAC,1960,195990480
129,Lao PDR,LAO,1960,2120892
130,Lebanon,LBN,1960,1804935
131,Liberia,LBR,1960,1118655
132,Libya,LBY,1960,1448416
133,St. Lucia,LCA,1960,89698
134,Latin America & Caribbean,LCN,1960,219828794
135,Least developed countries: UN classification,LDC,1960,240454708
136,Low income,LIC,1960,140853136
137,Liechtenstein,LIE,1960,16501
138,Sri Lanka,LKA,1960,9874476
139,Lower middle income,LMC,1960,988626091
140,Low & middle income,LMY,1960,2244700479
141,Lesotho,LSO,1960,837264
142,Late-demographic dividend,LTE,1960,1096903448
143,Lithuania,LTU,1960,2778550
144,Luxembourg,LUX,1960,313970
145,Latvia,LVA,1960,2120979
146,"Macao SAR, China",MAC,1960,167795
147,St. Martin (French part),MAF,1960,3898
148,Morocco,MAR,1960,12328532
149,Monaco,MCO,1960,22461
150,Moldova,MDA,1960,2043664
151,Madagascar,MDG,1960,5099368
152,Maldives,MDV,1960,89873
153,Middle East & North Africa,MEA,1960,105203230
154,Mexico,MEX,1960,37771861
155,Marshall Islands,MHL,1960,14674
156,Middle income,MIC,1960,2103847343
157,North Macedonia,MKD,1960,1488670
158,Mali,MLI,1960,5263727
159,Malta,MLT,1960,326550
160,Myanmar,MMR,1960,21736947
161,Middle East & North Africa (excluding high income),MNA,1960,97553136
162,Montenegro,MNE,1960,480579
163,Mongolia,MNG,1960,955514
164,Northern Mariana Islands,MNP,1960,9980
165,Mozambique,MOZ,1960,7184870
166,Mauritania,MRT,1960,850377
167,Mauritius,MUS,1960,659351
168,Malawi,MWI,1960,3659980
169,Malaysia,MYS,1960,8156342
170,North America,NAC,1960,198624409
171,Namibia,NAM,1960,634138
172,New Caledonia,NCL,1960,79000
173,Niger,NER,1960,3388774
174,Nigeria,NGA,1960,45138460
175,Nicaragua,NIC,1960,1773132
176,Netherlands,NLD,1960,11486631
177,Norway,NOR,1960,3581239
178,Nepal,NPL,1960,10105060
179,Nauru,NRU,1960,4377
180,New Zealand,NZL,1960,2371800
181,OECD members,OED,1960,809413164
182,Oman,OMN,1960,551735
183,Other small states,OSS,1960,9151857
184,Pakistan,PAK,1960,44988690
185,Panama,PAN,1960,1133005
186,Peru,PER,1960,10155011
187,Philippines,PHL,1960,26269741
188,Palau,PLW,1960,9769
189,Papua New Guinea,PNG,1960,2255858
190,Poland,POL,1960,29637450
191,Pre-demographic dividend,PRE,1960,187617086
192,Puerto Rico,PRI,1960,2358000
193,"Korea, Dem. People's Rep.",PRK,1960,11424189
194,Portugal,PRT,1960,8857716
195,Paraguay,PRY,1960,1903990
196,West Bank and Gaza,PSE,1960,
197,Pacific island small states,PSS,1960,865064
198,Post-demographic dividend,PST,1960,755229793
199,French Polynesia,PYF,1960,78080
200,Qatar,QAT,1960,47383
201,Romania,ROU,1960,18406905
202,Russian Federation,RUS,1960,119897000
203,Rwanda,RWA,1960,2935575
204,South Asia,SAS,1960,572839530
205,Saudi Arabia,SAU,1960,4086534
206,Sudan,SDN,1960,7544498
207,Senegal,SEN,1960,3206757
208,Singapore,SGP,1960,1646400
209,Solomon Islands,SLB,1960,117847
210,Sierra Leone,SLE,1960,2317638
211,El Salvador,SLV,1960,2766319
212,San Marino,SMR,1960,15440
213,Somalia,SOM,1960,2755967
214,Serbia,SRB,1960,6608000
215,Sub-Saharan Africa (excluding high income),SSA,1960,227191484
216,South Sudan,SSD,1960,2842718
217,Sub-Saharan Africa,SSF,1960,227233184
218,Small states,SST,1960,14211632
219,Sao Tome and Principe,STP,1960,64294
220,Suriname,SUR,1960,287870
221,Slovak Republic,SVK,1960,4068095
222,Slovenia,SVN,1960,1584720
223,Sweden,SWE,1960,7484656
224,Eswatini,SWZ,1960,336578
225,Sint Maarten (Dutch part),SXM,1960,2833
226,Seychelles,SYC,1960,41700
227,Syrian Arab Republic,SYR,1960,4573514
228,Turks and Caicos Islands,TCA,1960,5825
229,Chad,TCD,1960,3001604
230,East Asia & Pacific (IDA & IBRD countries),TEA,1960,883445587
231,Europe & Central Asia (IDA & IBRD countries),TEC,1960,308424859
232,Togo,TGO,1960,1580508
233,Thailand,THA,1960,27397208
234,Tajikistan,TJK,1960,2087053
235,Turkmenistan,TKM,1960,1603254
236,Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,209749023
237,Timor-Leste,TLS,1960,474535
238,Middle East & North Africa (IDA & IBRD countries),TMN,1960,97553136
239,Tonga,TON,1960,61574
240,South Asia (IDA & IBRD),TSA,1960,572839530
241,Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,227233184
242,Trinidad and Tobago,TTO,1960,847973
243,Tunisia,TUN,1960,4178235
244,Turkiye,TUR,1960,27472339
245,Tuvalu,TUV,1960,5321
246,Tanzania,TZA,1960,10052151
247,Uganda,UGA,1960,6767092
248,Ukraine,UKR,1960,42664646
249,Upper middle income,UMC,1960,1115221252
250,Uruguay,URY,1960,2538648
251,United States,USA,1960,180671000
252,Uzbekistan,UZB,1960,8526299
253,St. Vincent and the Grenadines,VCT,1960,80970
254,"Venezuela, RB",VEN,1960,8141839
255,British Virgin Islands,VGB,1960,8053
256,Virgin Islands (U.S.),VIR,1960,32500
257,Vietnam,VNM,1960,32670048
258,Vanuatu,VUT,1960,63689
259,World,WLD,1960,3032156070
260,Samoa,WSM,1960,108627
261,Kosovo,XKX,1960,947000
262,"Yemen, Rep.",YEM,1960,5315351
263,South Africa,ZAF,1960,17099836
264,Zambia,ZMB,1960,3070780
265,Zimbabwe,ZWE,1960,3776679
266,Aruba,ABW,1961,55434
267,Africa Eastern and Southern,AFE,1961,134159786
268,Afghanistan,AFG,1961,9169406
269,Africa Western and Central,AFW,1961,98407221
270,Angola,AGO,1961,5531451
271,Albania,ALB,1961,1659800
272,Andorra,AND,1961,14378
273,Arab World,ARB,1961,94724540
274,United Arab Emirates,ARE,1961,100801
275,Argentina,ARG,1961,20817270
276,Armenia,ARM,1961,1941498
277,American Samoa,ASM,1961,20605
278,Antigua and Barbuda,ATG,1961,55005
279,Australia,AUS,1961,10483000
280,Austria,AUT,1961,7086299
281,Azerbaijan,AZE,1961,4030325
282,Burundi,BDI,1961,2852438
283,Belgium,BEL,1961,9183948
284,Benin,BEN,1961,2465865
285,Burkina Faso,BFA,1961,4894580
286,Bangladesh,BGD,1961,49362834
287,Bulgaria,BGR,1961,7943118
288,Bahrain,BHR,1961,167899
289,"Bahamas, The",BHS,1961,115119
290,Bosnia and Herzegovina,BIH,1961,3288604
291,Belarus,BLR,1961,8271216
292,Belize,BLZ,1961,94700
293,Bermuda,BMU,1961,45500
294,Bolivia,BOL,1961,3728954
295,Brazil,BRA,1961,74311338
296,Barbados,BRB,1961,231718
297,Brunei Darussalam,BRN,1961,85560
298,Bhutan,BTN,1961,228849
299,Botswana,BWA,1961,512688
300,Central African Republic,CAF,1961,1526057
301,Canada,CAN,1961,18271000
302,Central Europe and the Baltics,CEB,1961,92232738
303,Switzerland,CHE,1961,5434294
304,Channel Islands,CHI,1961,110398
305,Chile,CHL,1961,8303804
306,China,CHN,1961,660330000
307,Cote d'Ivoire,CIV,1961,3631547
308,Cameroon,CMR,1961,5285015
309,"Congo, Dem. Rep.",COD,1961,15637700
310,"Congo, Rep.",COG,1961,1043119
311,Colombia,COL,1961,16567817
312,Comoros,COM,1961,194149
313,Cabo Verde,CPV,1961,205321
314,Costa Rica,CRI,1961,1381187
315,Caribbean small states,CSS,1961,4274052
316,Cuba,CUB,1961,7291201
317,Curacao,CUW,1961,126125
318,Cayman Islands,CYM,1961,8024
319,Cyprus,CYP,1961,576402
320,Czechia,CZE,1961,9586651
321,Germany,DEU,1961,73377632
322,Djibouti,DJI,1961,88503
323,Dominica,DMA,1961,61036
324,Denmark,DNK,1961,4611687
325,Dominican Republic,DOM,1961,3406282
326,Algeria,DZA,1961,11336336
327,East Asia & Pacific (excluding high income),EAP,1961,894489549
328,Early-demographic dividend,EAR,1961,1003194972
329,East Asia & Pacific,EAS,1961,1043656626
330,Europe & Central Asia (excluding high income),ECA,1961,260376316
331,Europe & Central Asia,ECS,1961,674450666
332,Ecuador,ECU,1961,4674176
333,"Egypt, Arab Rep.",EGY,1961,27366239
334,Euro area,EMU,1961,267621091
335,Eritrea,ERI,1961,1033320
336,Spain,ESP,1961,30739250
337,Estonia,EST,1961,1225077
338,Ethiopia,ETH,1961,22671193
339,European Union,EUU,1961,359998408
340,Fragile and conflict affected situations,FCS,1961,250274396
341,Finland,FIN,1961,4461005
342,Fiji,FJI,1961,407244
343,France,FRA,1961,47240526
344,Faroe Islands,FRO,1961,35074
345,"Micronesia, Fed. Sts.",FSM,1961,45939
346,Gabon,GAB,1961,505793
347,United Kingdom,GBR,1961,52800000
348,Georgia,GEO,1961,3703600
349,Ghana,GHA,1961,6848291
350,Gibraltar,GIB,1961,23808
351,Guinea,GIN,1961,3552068
352,"Gambia, The",GMB,1961,372436
353,Guinea-Bissau,GNB,1961,622754
354,Equatorial Guinea,GNQ,1961,258786
355,Greece,GRC,1961,8398050
356,Grenada,GRD,1961,91324
357,Greenland,GRL,1961,33700
358,Guatemala,GTM,1961,4251911
359,Guam,GUM,1961,68065
360,Guyana,GUY,1961,589274
361,High income,HIC,1961,789211684
362,"Hong Kong SAR, China",HKG,1961,3168100
363,Honduras,HND,1961,2096407
364,Heavily indebted poor countries (HIPC),HPC,1961,165573136
365,Croatia,HRV,1961,4167292
366,Haiti,HTI,1961,3941956
367,Hungary,HUN,1961,10029321
368,IBRD only,IBD,1961,1940356959
369,IDA & IBRD total,IBT,1961,2329154652
370,IDA total,IDA,1961,388797693
371,IDA blend,IDB,1961,123270998
372,Indonesia,IDN,1961,90098396
373,IDA only,IDX,1961,265526695
374,Isle of Man,IMN,1961,48286
375,India,IND,1961,459642166
376,Not classified,INX,1961,
377,Ireland,IRL,1961,2824400
378,"Iran, Islamic Rep.",IRN,1961,22480371
379,Iraq,IRQ,1961,7475349
380,Iceland,ISL,1961,179029
381,Israel,ISR,1961,2185000
382,Italy,ITA,1961,50536350
383,Jamaica,JAM,1961,1651067
384,Jordan,JOR,1961,973983
385,Japan,JPN,1961,94055000
386,Kazakhstan,KAZ,1961,10349422
387,Kenya,KEN,1961,8377693
388,Kyrgyz Republic,KGZ,1961,2255900
389,Cambodia,KHM,1961,5872968
390,Kiribati,KIR,1961,42234
391,St. Kitts and Nevis,KNA,1961,51196
392,"Korea, Rep.",KOR,1961,25765673
393,Kuwait,KWT,1961,300581
394,Latin America & Caribbean (excluding high income),LAC,1961,201468291
395,Lao PDR,LAO,1961,2170340
396,Lebanon,LBN,1961,1864613
397,Liberia,LBR,1961,1142304
398,Libya,LBY,1961,1498076
399,St. Lucia,LCA,1961,90718
400,Latin America & Caribbean,LCN,1961,225912719
401,Least developed countries: UN classification,LDC,1961,246047924
402,Low income,LIC,1961,144012757
403,Liechtenstein,LIE,1961,16894
404,Sri Lanka,LKA,1961,10111639
405,Lower middle income,LMC,1961,1011300866
406,Low & middle income,LMY,1961,2273945110
407,Lesotho,LSO,1961,852892
408,Late-demographic dividend,LTE,1961,1099284940
409,Lithuania,LTU,1961,2823550
410,Luxembourg,LUX,1961,316845
411,Latvia,LVA,1961,2152681
412,"Macao SAR, China",MAC,1961,170466
413,St. Martin (French part),MAF,1961,3996
414,Morocco,MAR,1961,12710587
415,Monaco,MCO,1961,22813
416,Moldova,MDA,1961,2092667
417,Madagascar,MDG,1961,5223561
418,Maldives,MDV,1961,92328
419,Middle East & North Africa,MEA,1961,108061826
420,Mexico,MEX,1961,38966049
421,Marshall Islands,MHL,1961,15056
422,Middle income,MIC,1961,2129932353
423,North Macedonia,MKD,1961,1507647
424,Mali,MLI,1961,5322269
425,Malta,MLT,1961,325250
426,Myanmar,MMR,1961,22211626
427,Middle East & North Africa (excluding high income),MNA,1961,100147125
428,Montenegro,MNE,1961,491140
429,Mongolia,MNG,1961,982181
430,Northern Mariana Islands,MNP,1961,10243
431,Mozambique,MOZ,1961,7342117
432,Mauritania,MRT,1961,875586
433,Mauritius,MUS,1961,680757
434,Malawi,MWI,1961,3747758
435,Malaysia,MYS,1961,8417821
436,North America,NAC,1961,202007500
437,Namibia,NAM,1961,649274
438,New Caledonia,NCL,1961,81200
439,Niger,NER,1961,3486322
440,Nigeria,NGA,1961,46063570
441,Nicaragua,NIC,1961,1829772
442,Netherlands,NLD,1961,11638712
443,Norway,NOR,1961,3609800
444,Nepal,NPL,1961,10267260
445,Nauru,NRU,1961,4627
446,New Zealand,NZL,1961,2419700
447,OECD members,OED,1961,820690358
448,Oman,OMN,1961,564891
449,Other small states,OSS,1961,9315834
450,Pakistan,PAK,1961,46065229
451,Panama,PAN,1961,1167120
452,Peru,PER,1961,10446618
453,Philippines,PHL,1961,27161052
454,Palau,PLW,1961,10046
455,Papua New Guinea,PNG,1961,2297052
456,Poland,POL,1961,29964000
457,Pre-demographic dividend,PRE,1961,191889668
458,Puerto Rico,PRI,1961,2399722
459,"Korea, Dem. People's Rep.",PRK,1961,11665592
460,Portugal,PRT,1961,8929316
461,Paraguay,PRY,1961,1954552
462,West Bank and Gaza,PSE,1961,
463,Pacific island small states,PSS,1961,893394
464,Post-demographic dividend,PST,1961,764423461
465,French Polynesia,PYF,1961,80705
466,Qatar,QAT,1961,51427
467,Romania,ROU,1961,18555250
468,Russian Federation,RUS,1961,121236000
469,Rwanda,RWA,1961,2998334
470,South Asia,SAS,1961,584939711
471,Saudi Arabia,SAU,1961,4218852
472,Sudan,SDN,1961,7769475
473,Senegal,SEN,1961,3295280
474,Singapore,SGP,1961,1702400
475,Solomon Islands,SLB,1961,121385
476,Sierra Leone,SLE,1961,2352370
477,El Salvador,SLV,1961,2846601
478,San Marino,SMR,1961,15836
479,Somalia,SOM,1961,2814125
480,Serbia,SRB,1961,6655000
481,Sub-Saharan Africa (excluding high income),SSA,1961,232524118
482,South Sudan,SSD,1961,2895609
483,Sub-Saharan Africa,SSF,1961,232567007
484,Small states,SST,1961,14483280
485,Sao Tome and Principe,STP,1961,64597
486,Suriname,SUR,1961,295913
487,Slovak Republic,SVK,1961,4191667
488,Slovenia,SVN,1961,1594131
489,Sweden,SWE,1961,7519998
490,Eswatini,SWZ,1961,343346
491,Sint Maarten (Dutch part),SXM,1961,3077
492,Seychelles,SYC,1961,42889
493,Syrian Arab Republic,SYR,1961,4721893
494,Turks and Caicos Islands,TCA,1961,5867
495,Chad,TCD,1961,3060365
496,East Asia & Pacific (IDA & IBRD countries),TEA,1961,882807979
497,Europe & Central Asia (IDA & IBRD countries),TEC,1961,313062858
498,Togo,TGO,1961,1597523
499,Thailand,THA,1961,28224186
500,Tajikistan,TJK,1961,2159134
501,Turkmenistan,TKM,1961,1658364
502,Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,215629972
503,Timor-Leste,TLS,1961,482852
504,Middle East & North Africa (IDA & IBRD countries),TMN,1961,100147125
505,Tonga,TON,1961,63721
506,South Asia (IDA & IBRD),TSA,1961,584939711
507,Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,232567007
508,Trinidad and Tobago,TTO,1961,864814
509,Tunisia,TUN,1961,4238141
510,Turkiye,TUR,1961,28146909
511,Tuvalu,TUV,1961,5330
512,Tanzania,TZA,1961,10346695
513,Uganda,UGA,1961,6983824
514,Ukraine,UKR,1961,43206353
515,Upper middle income,UMC,1961,1118631487
516,Uruguay,URY,1961,2571682
517,United States,USA,1961,183691000
518,Uzbekistan,UZB,1961,8813619
519,St. Vincent and the Grenadines,VCT,1961,82168
520,"Venezuela, RB",VEN,1961,8439261
521,British Virgin Islands,VGB,1961,8164
522,Virgin Islands (U.S.),VIR,1961,34300
523,Vietnam,VNM,1961,33666111
524,Vanuatu,VUT,1961,65700
525,World,WLD,1961,3071596055
526,Samoa,WSM,1961,112112
527,Kosovo,XKX,1961,966000
528,"Yemen, Rep.",YEM,1961,5393034
529,South Africa,ZAF,1961,17524533
530,Zambia,ZMB,1961,3164330
531,Zimbabwe,ZWE,1961,3905038
532,Aruba,ABW,1962,56234
533,Africa Eastern and Southern,AFE,1962,137614644
534,Afghanistan,AFG,1962,9351442
535,Africa Western and Central,AFW,1962,100506960
536,Angola,AGO,1962,5608499
537,Albania,ALB,1962,1711319
538,Andorra,AND,1962,15379
539,Arab World,ARB,1962,97334438
540,United Arab Emirates,ARE,1962,112112
541,Argentina,ARG,1962,21153042
542,Armenia,ARM,1962,2009524
543,American Samoa,ASM,1962,21246
544,Antigua and Barbuda,ATG,1962,55849
545,Australia,AUS,1962,10742000
546,Austria,AUT,1962,7129864
547,Azerbaijan,AZE,1962,4171428
548,Burundi,BDI,1962,2907320
549,Belgium,BEL,1962,9220578
550,Benin,BEN,1962,2502897
551,Burkina Faso,BFA,1962,4960328
552,Bangladesh,BGD,1962,50752150
553,Bulgaria,BGR,1962,8012946
554,Bahrain,BHR,1962,173140
555,"Bahamas, The",BHS,1962,121092
556,Bosnia and Herzegovina,BIH,1962,3353228
557,Belarus,BLR,1962,8351928
558,Belize,BLZ,1962,97392
559,Bermuda,BMU,1962,46600
560,Bolivia,BOL,1962,3802996
561,Brazil,BRA,1962,76514329
562,Barbados,BRB,1962,232623
563,Brunei Darussalam,BRN,1962,89484
564,Bhutan,BTN,1962,234552
565,Botswana,BWA,1962,523777
566,Central African Republic,CAF,1962,1551908
567,Canada,CAN,1962,18614000
568,Central Europe and the Baltics,CEB,1962,93009498
569,Switzerland,CHE,1962,5573815
570,Channel Islands,CHI,1962,111464
571,Chile,CHL,1962,8476895
572,China,CHN,1962,665770000
573,Cote d'Ivoire,CIV,1962,3770756
574,Cameroon,CMR,1962,5398730
575,"Congo, Dem. Rep.",COD,1962,16041187
576,"Congo, Rep.",COG,1962,1069236
577,Colombia,COL,1962,17092919
578,Comoros,COM,1962,197202
579,Cabo Verde,CPV,1962,210141
580,Costa Rica,CRI,1962,1433346
581,Caribbean small states,CSS,1962,4353623
582,Cuba,CUB,1962,7453535
583,Curacao,CUW,1962,128414
584,Cayman Islands,CYM,1962,8141
585,Cyprus,CYP,1962,577696
586,Czechia,CZE,1962,9624660
587,Germany,DEU,1962,74025784
588,Djibouti,DJI,1962,94203
589,Dominica,DMA,1962,61978
590,Denmark,DNK,1962,4647727
591,Dominican Republic,DOM,1962,3521018
592,Algeria,DZA,1962,11619828
593,East Asia & Pacific (excluding high income),EAP,1962,906424232
594,Early-demographic dividend,EAR,1962,1027204700
595,East Asia & Pacific,EAS,1962,1058119847
596,Europe & Central Asia (excluding high income),ECA,1962,264562393
597,Europe & Central Asia,ECS,1962,682397828
598,Ecuador,ECU,1962,4809194
599,"Egypt, Arab Rep.",EGY,1962,28112258
600,Euro area,EMU,1962,270110063
601,Eritrea,ERI,1962,1060489
602,Spain,ESP,1962,31023366
603,Estonia,EST,1962,1241623
604,Ethiopia,ETH,1962,23221385
605,European Union,EUU,1962,363200480
606,Fragile and conflict affected situations,FCS,1962,255615131
607,Finland,FIN,1962,4491443
608,Fiji,FJI,1962,421673
609,France,FRA,1962,47904879
610,Faroe Islands,FRO,1962,35521
611,"Micronesia, Fed. Sts.",FSM,1962,47372
612,Gabon,GAB,1962,511285
613,United Kingdom,GBR,1962,53250000
614,Georgia,GEO,1962,3760300
615,Ghana,GHA,1962,7071966
616,Gibraltar,GIB,1962,24307
617,Guinea,GIN,1962,3611428
618,"Gambia, The",GMB,1962,379886
619,Guinea-Bissau,GNB,1962,628877
620,Equatorial Guinea,GNQ,1962,262219
621,Greece,GRC,1962,8448233
622,Grenada,GRD,1962,92481
623,Greenland,GRL,1962,35000
624,Guatemala,GTM,1962,4378604
625,Guam,GUM,1962,69605
626,Guyana,GUY,1962,606286
627,High income,HIC,1962,799334016
628,"Hong Kong SAR, China",HKG,1962,3305200
629,Honduras,HND,1962,2155648
630,Heavily indebted poor countries (HIPC),HPC,1962,169567052
631,Croatia,HRV,1962,4196712
632,Haiti,HTI,1962,4019171
633,Hungary,HUN,1962,10061734
634,IBRD only,IBD,1962,1974018983
635,IDA & IBRD total,IBT,1962,2372380699
636,IDA total,IDA,1962,398361716
637,IDA blend,IDB,1962,126289838
638,Indonesia,IDN,1962,92518373
639,IDA only,IDX,1962,272071878
640,Isle of Man,IMN,1962,48421
641,India,IND,1962,469077191
642,Not classified,INX,1962,
643,Ireland,IRL,1962,2836050
644,"Iran, Islamic Rep.",IRN,1962,23071309
645,Iraq,IRQ,1962,7674217
646,Iceland,ISL,1962,182378
647,Israel,ISR,1962,2293000
648,Italy,ITA,1962,50879450
649,Jamaica,JAM,1962,1676500
650,Jordan,JOR,1962,1010647
651,Japan,JPN,1962,94933000
652,Kazakhstan,KAZ,1962,10756931
653,Kenya,KEN,1962,8647002
654,Kyrgyz Republic,KGZ,1962,2333400
655,Cambodia,KHM,1962,6028434
656,Kiribati,KIR,1962,43283
657,St. Kitts and Nevis,KNA,1962,50961
658,"Korea, Rep.",KOR,1962,26513030
659,Kuwait,KWT,1962,337346
660,Latin America & Caribbean (excluding high income),LAC,1962,207117533
661,Lao PDR,LAO,1962,2221123
662,Lebanon,LBN,1962,1925295
663,Liberia,LBR,1962,1166651
664,Libya,LBY,1962,1550815
665,St. Lucia,LCA,1962,91892
666,Latin America & Caribbean,LCN,1962,232183258
667,Least developed countries: UN classification,LDC,1962,251832862
668,Low income,LIC,1962,147251680
669,Liechtenstein,LIE,1962,17300
670,Sri Lanka,LKA,1962,10352180
671,Lower middle income,LMC,1962,1034742138
672,Low & middle income,LMY,1962,2316484209
673,Lesotho,LSO,1962,869132
674,Late-demographic dividend,LTE,1962,1113927919
675,Lithuania,LTU,1962,2863350
676,Luxembourg,LUX,1962,320750
677,Latvia,LVA,1962,2181586
678,"Macao SAR, China",MAC,1962,176188
679,St. Martin (French part),MAF,1962,4078
680,Morocco,MAR,1962,13094890
681,Monaco,MCO,1962,23043
682,Moldova,MDA,1962,2140063
683,Madagascar,MDG,1962,5352497
684,Maldives,MDV,1962,94902
685,Middle East & North Africa,MEA,1962,111045418
686,Mexico,MEX,1962,40195318
687,Marshall Islands,MHL,1962,15547
688,Middle income,MIC,1962,2169232529
689,North Macedonia,MKD,1962,1527109
690,Mali,MLI,1962,5381367
691,Malta,MLT,1962,323900
692,Myanmar,MMR,1962,22697664
693,Middle East & North Africa (excluding high income),MNA,1962,102808039
694,Montenegro,MNE,1962,502558
695,Mongolia,MNG,1962,1011327
696,Northern Mariana Islands,MNP,1962,10438
697,Mozambique,MOZ,1962,7507309
698,Mauritania,MRT,1962,901690
699,Mauritius,MUS,1962,700349
700,Malawi,MWI,1962,3839047
701,Malaysia,MYS,1962,8692337
702,North America,NAC,1962,205198600
703,Namibia,NAM,1962,665119
704,New Caledonia,NCL,1962,83400
705,Niger,NER,1962,3588228
